"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 14:00:17 GMT 2024","Thu Jul 25 14:00:19 GMT 2024","1724","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC1: Validar ingresar datos válidos en todos los campos del formulario checkout-step-one (Happy Path)",""
"passed","Thu Jul 25 14:00:21 GMT 2024","Thu Jul 25 14:00:21 GMT 2024","863","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC4: Validar ingresar caracteres especiales en ""Zip/Postal Code"" con otros campos válidos del formulario",""
"passed","Thu Jul 25 14:00:20 GMT 2024","Thu Jul 25 14:00:21 GMT 2024","829","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC3: Validar ingresar caracteres especiales en ""First name"" con otros campos válidos del formulario",""
"passed","Thu Jul 25 14:00:19 GMT 2024","Thu Jul 25 14:00:20 GMT 2024","840","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC2: Validar acción de hacer clic en el botón ""Cancelar""",""
"passed","Thu Jul 25 14:00:21 GMT 2024","Thu Jul 25 14:00:22 GMT 2024","816","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC5: Validar dejar campo vacío en ""First name"" con otros campos válidos del formulario",""
