"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 14:32:28 GMT 2024","Thu Jul 25 14:32:30 GMT 2024","2158","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC1: Validar ingresar datos válidos en todos los campos del formulario checkout-step-one (Happy Path)",""
"passed","Thu Jul 25 14:32:31 GMT 2024","Thu Jul 25 14:32:32 GMT 2024","828","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC3: Validar ingresar caracteres especiales en ""First name"" con otros campos válidos del formulario",""
"passed","Thu Jul 25 14:32:30 GMT 2024","Thu Jul 25 14:32:31 GMT 2024","865","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC2: Validar acción de hacer clic en el botón ""Cancelar""",""
"passed","Thu Jul 25 14:32:33 GMT 2024","Thu Jul 25 14:32:34 GMT 2024","849","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC5: Validar dejar campo vacío en ""First name"" con otros campos válidos del formulario",""
"passed","Thu Jul 25 14:32:32 GMT 2024","Thu Jul 25 14:32:33 GMT 2024","816","chromium","specs/SwagLabs/checkoutStepOne.spec.ts","DT GX3-4336 SwagLabs | Checkout Info | Insertar información del comprador.","","","TC4: Validar ingresar caracteres especiales en ""Zip/Postal Code"" con otros campos válidos del formulario",""
